Title,Date
"Happy New Year","10/7/25"
"The Vampire Diaries: Season 8: I Was Feeling Epic","10/6/25"
"The Vampire Diaries: Season 8: We're Planning a June Wedding","10/5/25"
"The Vampire Diaries: Season 8: It's Been a Hell of a Ride","10/5/25"
"The Vampire Diaries: Season 8: The Lies Will Catch Up to You","10/5/25"
"The Vampire Diaries: Season 8: What Are You?","10/5/25"
"Money Heist: Part 1: Episode 1","10/5/25"
"The Vampire Diaries: Season 8: You Made a Choice to Be Good","10/5/25"
"The Vampire Diaries: Season 8: Nostalgia's a Bitch","10/5/25"
"The Vampire Diaries: Season 8: The Simple Intimacy of the Near Touch","10/5/25"
"The Vampire Diaries: Season 8: We Have History Together","10/4/25"
"The Vampire Diaries: Season 8: The Next Time I Hurt Somebody, It Could Be You","10/3/25"
"The Vampire Diaries: Season 8: Detoured on Some Random Backwoods Path to Hell","10/3/25"
"The Vampire Diaries: Season 8: Coming Home Was a Mistake","10/3/25"
"The Vampire Diaries: Season 8: An Eternity of Misery","10/3/25"
"The Vampire Diaries: Season 8: You Decided I Was Worth Saving","10/3/25"
"Sikandar Ka Muqaddar","10/2/25"
"Dhadak 2","10/2/25"
"The Vampire Diaries: Season 8: Today Will Be Different","10/1/25"
"The Dictator","10/1/25"
"The Vampire Diaries: Season 8: Hello, Brother","10/1/25"
"The Vampire Diaries: Season 7: Gods and Monsters","10/1/25"
"The Vampire Diaries: Season 7: Requiem for a Dream","10/1/25"
"The Vampire Diaries: Season 7: Kill 'Em All","10/1/25"
"The Vampire Diaries: Season 7: Somebody That I Used to Know","10/1/25"
"The Vampire Diaries: Season 7: One Way or Another","9/30/25"
"The Vampire Diaries: Season 7: I Went to the Woods","9/30/25"
"The Vampire Diaries: Season 7: Days of Future Past","9/30/25"
"The Vampire Diaries: Season 7: I Would for You","9/30/25"
"The Vampire Diaries: Season 7: Moonlight on the Bayou","9/30/25"
"The Vampire Diaries: Season 7: This Woman's Work","9/30/25"
"The Vampire Diaries: Season 7: Postcards from the Edge","9/30/25"
"The Vampire Diaries: Season 7: Things We Lost in the Fire","9/30/25"
"The Vampire Diaries: Season 7: Hell Is Other People","9/30/25"
"The Vampire Diaries: Season 7: Cold as Ice","9/30/25"
"The Vampire Diaries: Season 7: Hold Me, Thrill Me, Kiss Me, Kill Me","9/30/25"
"The Vampire Diaries: Season 7: Mommie Dearest","9/29/25"
"The Vampire Diaries: Season 7: Best Served Cold","9/29/25"
"The Vampire Diaries: Season 7: Live Through This","9/29/25"
"The Vampire Diaries: Season 7: I Carry Your Heart with Me","9/29/25"
"The Vampire Diaries: Season 7: Age of Innocence","9/29/25"
"The Vampire Diaries: Season 7: Never Let Me Go","9/29/25"
"Alice in Borderland: Season 2: Episode 8","9/29/25"
"Alice in Borderland: Season 2: Episode 7","9/29/25"
"Alice in Borderland: Season 2: Episode 6","9/29/25"
"Alice in Borderland: Season 2: Episode 5","9/29/25"
"Alice in Borderland: Season 2: Episode 4","9/29/25"
"Alice in Borderland: Season 2: Episode 3","9/29/25"
"Alice in Borderland: Season 2: Episode 2","9/29/25"
"Alice in Borderland: Season 2: Episode 1","9/29/25"
"Alice in Borderland: Season 1: Episode 8","9/29/25"
"Alice in Borderland: Season 1: Episode 7","9/29/25"
"Alice in Borderland: Season 1: Episode 6","9/29/25"
"Alice in Borderland: Season 1: Episode 5","9/29/25"
"Alice in Borderland: Season 1: Episode 4","9/29/25"
"The Vampire Diaries: Season 7: Day One of Twenty-Two Thousand, Give or Take","9/29/25"
"The Vampire Diaries: Season 6: I'm Thinking of You All the While","9/29/25"
"The Vampire Diaries: Season 6: I'll Wed You in the Golden Summertime","9/28/25"
"Alice in Borderland: Season 1: Episode 3","9/28/25"
"Alice in Borderland: Season 1: Episode 2","9/28/25"
"Alice in Borderland: Season 1: Episode 1","9/28/25"
"C.I.D: Episodes (76-104): 28-09-2025 Pariyon Ki Duniya","9/28/25"
"C.I.D: Episodes (76-104): 27-09-2025 Death During A Live Stream","9/28/25"
"C.I.D: Episodes (76-104): 21-09-2025 Attack On Mumbai","9/28/25"
"C.I.D: Episodes (76-104): 20-09-2025 The Missing Influencer","9/28/25"
"C.I.D: Episodes (76-104): 14-09-2025 High Security Murder","9/28/25"
"The Vampire Diaries: Season 6: I'd Leave My Happy Home for You","9/28/25"
"The Vampire Diaries: Season 6: Because","9/28/25"
"Ginny Weds Sunny","9/28/25"
"Ajeeb Daastaans","9/27/25"
"The Vampire Diaries: Season 6: I Never Could Love Like That","9/27/25"
"The Vampire Diaries: Season 6: A Bird in a Gilded Cage","9/27/25"
"The Vampire Diaries: Season 6: The Downward Spiral","9/27/25"
"Fukrey","9/27/25"
"Son of Sardaar 2","9/27/25"
"The Great Indian Kapil Show: Season 3: Khiladi Returns","9/27/25"
"The Vampire Diaries: Season 6: Let Her Go","9/27/25"
"Sex/Life: Season 1: The Wives Are in Connecticut","9/27/25"
"Fatal Seduction: Season 1: Mister Wrong","9/27/25"
"Dark Desire: Season 1: It's Just Sex","9/27/25"
"The Vampire Diaries: Season 6: Stay","9/27/25"
"The Royals: The Maharaja and the CEO.","9/26/25"
"The Royals: The Ex-Factor.","9/26/25"
"The Royals: A Ball to Remember.","9/26/25"
"The Royals: A Swing and a Ms.","9/26/25"
"The Royals: A Pitch Made in Heaven.","9/26/25"
"Split","9/26/25"
"The Vampire Diaries: Season 6: The Day I Tried to Live","9/26/25"
"The Ba***ds of Bollywood: Picture Ka Title Hoga…","9/26/25"
"The Vampire Diaries: Season 6: Prayer for the Dying","9/26/25"
"The Vampire Diaries: Season 6: Woke Up with a Monster","9/26/25"
"The Ba***ds of Bollywood: My Hero","9/26/25"
"The Ba***ds of Bollywood: Bullshit Party","9/26/25"
"The Ba***ds of Bollywood: Barbaad Mohabbat","9/26/25"
"The Ba***ds of Bollywood: ⁠⁠Movie Mafia","9/26/25"
"The Great Indian Kapil Show: Season 2: Bonded By Love - Alia Bhatt, Karan Johar, Vedang Raina and Vasan Bala","9/26/25"
"The Vampire Diaries: Season 6: Christmas Through Your Eyes","9/26/25"
"The Vampire Diaries: Season 6: I Alone","9/26/25"
"The Vampire Diaries: Season 6: Fade into You","9/25/25"
"The Good Doctor: Season 2: Middle Ground","9/25/25"
"The Good Doctor: Season 2: Hello","9/25/25"
"The Vampire Diaries: Season 6: Do You Remember the First Time?","9/25/25"
"The Vampire Diaries: Season 6: The More You Ignore Me, the Closer I Get","9/25/25"
"The Vampire Diaries: Season 6: The World has Turned and Left Me Here","9/25/25"
"The Vampire Diaries: Season 6: Black Hole Sun","9/25/25"
"The Vampire Diaries: Season 6: Welcome to Paradise","9/25/25"
"Bajrangi Bhaijaan","9/24/25"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc: Hashira Meeting","9/24/25"
"Ozark: Season 4: Sangre Sobre Todo","9/24/25"
"The Vampire Diaries: Season 6: Yellow Ledbetter","9/24/25"
"The Vampire Diaries: Season 6: I'll Remember","9/24/25"
"Badla","9/24/25"
"The Vampire Diaries: Season 5: Home","9/24/25"
"The Vampire Diaries: Season 5: Promised Land","9/24/25"
"The Good Doctor: Season 1: More","9/24/25"
"The Vampire Diaries: Season 5: What Lies Beneath","9/24/25"
"The Vampire Diaries: Season 5: Man on Fire","9/24/25"
"The Vampire Diaries: Season 5: Resident Evil","9/23/25"
"The Vampire Diaries: Season 5: Rescue Me","9/23/25"
"Inspector Zende","9/23/25"
"The Vampire Diaries: Season 5: While You Were Sleeping","9/23/25"
"The Vampire Diaries: Season 5: Gone Girl","9/23/25"
"The Vampire Diaries: Season 5: No Exit","9/23/25"
"The Vampire Diaries: Season 5: Total Eclipse of the Heart","9/23/25"
"The Vampire Diaries: Season 5: The Devil Inside","9/22/25"
"The Vampire Diaries: Season 5: 500 Years of Solitude","9/22/25"
"The Good Doctor: Season 1: Smile","9/22/25"
"The Good Doctor: Season 1: Pain","9/22/25"
"The Vampire Diaries: Season 5: Fifty Shades of Grayson","9/22/25"
"The Vampire Diaries: Season 5: The Cell","9/22/25"
"The Vampire Diaries: Season 5: Dead Man on Campus","9/22/25"
"The Vampire Diaries: Season 5: Death and the Maiden","9/22/25"
"The Vampire Diaries: Season 5: Handle With Care","9/21/25"
"The Vampire Diaries: Season 5: Monster's Ball","9/21/25"
"The Good Doctor: Season 1: Heartfelt","9/21/25"
"The Good Doctor: Season 1: She","9/21/25"
"The Vampire Diaries: Season 5: For Whom the Bell Tolls","9/21/25"
"Pyaar Ka Punchnama","9/21/25"
"The Vampire Diaries: Season 5: Original Sin","9/21/25"
"The Good Doctor: Season 1: Seven Reasons","9/21/25"
"The Vampire Diaries: Season 5: True Lies","9/21/25"
"The Vampire Diaries: Season 5: I Know What You Did Last Summer","9/20/25"
"The Vampire Diaries: Season 4: Graduation","9/20/25"
"Metro... In Dino","9/20/25"
"Meenakshi Sundareshwar","9/20/25"
"The Vampire Diaries: Season 4: The Walking Dead","9/20/25"
"The Good Doctor: Season 1: Islands: Part 2","9/20/25"
"The Vampire Diaries: Season 4: She's Come Undone","9/20/25"
"The Fragrant Flower Blooms With Dignity: A Kind Person","9/19/25"
"The Fragrant Flower Blooms With Dignity: Chidori and Kikyo","9/19/25"
"DAN DA DAN: Season 2: Clash! Space Kaiju vs. Giant Robot!","9/19/25"
"The Vampire Diaries: Season 4: The Originals","9/19/25"
"The Vampire Diaries: Season 4: Pictures of You","9/19/25"
"The Vampire Diaries: Season 4: American Gothic","9/19/25"
"The Vampire Diaries: Season 4: Because the Night","9/19/25"
"The Vampire Diaries: Season 4: Bring It On","9/19/25"
"The Vampire Diaries: Season 4: Stand By Me","9/18/25"
"Best of The Great Indian Kapil Show: Stories of the Stars","9/18/25"
"The Vampire Diaries: Season 4: Down the Rabbit Hole","9/18/25"
"The Vampire Diaries: Season 4: Into the Wild","9/18/25"
"The Vampire Diaries: Season 4: A View to a Kill","9/18/25"
"The Vampire Diaries: Season 4: Catch Me If You Can","9/18/25"
"The Vampire Diaries: Season 4: After School Special","9/17/25"
"The Vampire Diaries: Season 4: O Come, All Ye Faithful","9/17/25"
"The Vampire Diaries: Season 4: We'll Always Have Bourbon Street","9/17/25"
"The Vampire Diaries: Season 4: My Brother's Keeper","9/17/25"
"'83","9/17/25"
"The Vampire Diaries: Season 4: We All Go a Little Mad Sometimes","9/17/25"
"The Vampire Diaries: Season 4: The Killer","9/16/25"
"The Vampire Diaries: Season 4: The Five","9/16/25"
"The Vampire Diaries: Season 4: The Rager","9/16/25"
"The Vampire Diaries: Season 4: Memorial","9/16/25"
"Rising Impact: Season 2: The Door to One’s Soul","9/15/25"
"The Vampire Diaries: Season 4: Growing Pains","9/15/25"
"The Vampire Diaries: Season 3: The Departed","9/15/25"
"The Vampire Diaries: Season 3: Before Sunset","9/15/25"
"The Vampire Diaries: Season 3: Do Not Go Gentle","9/15/25"
"The Vampire Diaries: Season 3: Heart of Darkness","9/15/25"
"The Vampire Diaries: Season 3: The Murder of One","9/15/25"
"C.I.D: Episodes (76-104): 13-09-2025 Shooting Stars","9/14/25"
"The Vampire Diaries: Season 3: Break On Through","9/14/25"
"The Vampire Diaries: Season 3: 1912","9/14/25"
"The Vampire Diaries: Season 3: All My Children","9/13/25"
"The Vampire Diaries: Season 3: Dangerous Liaisons","9/13/25"
"The Vampire Diaries: Season 3: Bringing Out the Dead","9/13/25"
"The Great Indian Kapil Show: Season 3: South Superheroes","9/13/25"
"Fall for Me","9/13/25"
"The Vampire Diaries: Season 3: The Ties That Bind","9/13/25"
"The Great Indian Kapil Show: Season 2: Shotgun with the Sinhas","9/13/25"
"The Great Indian Kapil Show: Season 2: Entertainer No. 1 - Govinda, Chunky Panday & Shakti Kapoor","9/13/25"
"Lakshya","9/13/25"
"The Vampire Diaries: Season 3: Our Town","9/13/25"
"The Vampire Diaries: Season 3: The New Deal","9/13/25"
"The Vampire Diaries: Season 3: Homecoming","9/13/25"
"The Vampire Diaries: Season 3: Ordinary People","9/13/25"
"The Vampire Diaries: Season 3: Ghost World","9/13/25"
"The Thursday Murder Club","9/13/25"
"The Vampire Diaries: Season 3: Smells Like Teen Spirit","9/13/25"
"DAN DA DAN: Season 2: Hey, it's a Kaiju","9/13/25"
"The Vampire Diaries: Season 3: The Reckoning","9/12/25"
"The Vampire Diaries: Season 3: Disturbing Behavior","9/12/25"
"The Vampire Diaries: Season 3: The End of the Affair","9/12/25"
"The Vampire Diaries: Season 3: The Hybrid","9/12/25"
"The Vampire Diaries: Season 3: The Birthday","9/12/25"
"The Vampire Diaries: Season 2: As I Lay Dying","9/12/25"
"The Vampire Diaries: Season 2: The Sun Also Rises","9/12/25"
"Devara","9/11/25"
"Pushpa 2: The Rule (Reloaded Version)","9/11/25"
"The Vampire Diaries: Season 2: The Last Day","9/11/25"
"The Good Doctor: Season 1: Islands: Part 1","9/11/25"
"The Vampire Diaries: Season 2: Klaus","9/11/25"
"The Vampire Diaries: Season 2: The Last Dance","9/11/25"
"The Vampire Diaries: Season 2: Know Thy Enemy","9/11/25"
"The Vampire Diaries: Season 2: The House Guest","9/10/25"
"The Vampire Diaries: Season 2: The Dinner Party","9/10/25"
"The Vampire Diaries: Season 2: Crying Wolf","9/10/25"
"The Good Doctor: Season 1: Sacrifice","9/10/25"
"The Vampire Diaries: Season 2: Daddy Issues","9/10/25"
"C.I.D: Episodes (76-104): 07-09-2025 A Serial Killer's Revenge","9/10/25"
"The Vampire Diaries: Season 2: The Descent","9/9/25"
"The Vampire Diaries: Season 2: By the Light of the Moon","9/9/25"
"The Vampire Diaries: Season 2: The Sacrifice","9/9/25"
"The Good Doctor: Season 1: Intangibles","9/9/25"
"The Vampire Diaries: Season 2: Katerina","9/9/25"
"Do Patti","9/9/25"
"The Vampire Diaries: Season 2: Rose","9/9/25"
"Kolaiyuthir Kaalam","9/9/25"
"The Vampire Diaries: Season 2: Masquerade","9/9/25"
"The Vampire Diaries: Season 2: Plan B","9/9/25"
"The Vampire Diaries: Season 2: Kill or Be Killed","9/9/25"
"The Vampire Diaries: Season 2: Memory Lane","9/8/25"
"The Vampire Diaries: Season 2: Bad Moon Rising","9/8/25"
"The Vampire Diaries: Season 2: Brave New World","9/8/25"
"The Good Doctor: Season 1: Apple","9/8/25"
"The Good Doctor: Season 1: Burnt Food","9/8/25"
"The Vampire Diaries: Season 2: The Return","9/8/25"
"The Vampire Diaries: Season 1: Founder's Day","9/8/25"
"The Vampire Diaries: Season 1: Isobel","9/8/25"
"The Vampire Diaries: Season 1: Blood Brothers","9/7/25"
"The Vampire Diaries: Season 1: Miss Mystic Falls","9/7/25"
"The Vampire Diaries: Season 1: Under Control","9/7/25"
"The Vampire Diaries: Season 1: Let the Right One In","9/7/25"
"The Vampire Diaries: Season 1: There Goes the Neighborhood","9/7/25"
"The Vampire Diaries: Season 1: A Few Good Men","9/6/25"
"The Vampire Diaries: Season 1: Fool Me Once","9/6/25"
"The Vampire Diaries: Season 1: Children of the Damned","9/6/25"
"C.I.D: Episodes (51-75): 06-09-2025 An Author's Murder Mystery","9/6/25"
"Darlings","9/6/25"
"Jamtara - Sabka Number Ayega: Season 1: Episode 1","9/6/25"
"Maamla Legal Hai: Egregious","9/6/25"
"The Vampire Diaries: Season 1: Unpleasantville","9/6/25"
"The Vampire Diaries: Season 1: Bloodlines","9/6/25"
"Mrs. Serial Killer","9/5/25"
"CAT: The Deal","9/5/25"
"The Vampire Diaries: Season 1: The Turning Point","9/5/25"
"The Vampire Diaries: Season 1: History Repeating","9/5/25"
"The Vampire Diaries: Season 1: 162 Candles","9/5/25"
"The Good Doctor: Season 6: Love's Labor","9/5/25"
"The Good Doctor: Season 6: A Beautiful Day","9/5/25"
"The Vampire Diaries: Season 1: Haunted","9/5/25"
"The Vampire Diaries: Season 1: Lost Girls","9/5/25"
"The Good Doctor: Season 6: Blessed","9/5/25"
"The Good Doctor: Season 6: Half Measures","9/5/25"
"The Good Doctor: Season 6: A Blip","9/5/25"
"The Vampire Diaries: Season 1: You're Undead to Me","9/4/25"
"Wednesday: Season 2: This Means Woe","9/4/25"
"Wednesday: Season 2: Woe Me the Money","9/4/25"
"Wednesday: Season 2: Woe Thyself","9/4/25"
"Wednesday: Season 2: Hyde and Woe Seek","9/4/25"
"The Vampire Diaries: Season 1: Family Ties","9/4/25"
"The Vampire Diaries: Season 1: Friday Night Bites","9/4/25"
"SAKAMOTO DAYS: Exam, Stage Three","9/4/25"
"Billu","9/3/25"
"Kho Gaye Hum Kahan","9/3/25"
"Kingdom","9/3/25"
"The Great Indian Kapil Show: Season 2: South Sensations - NTR, Saif Ali Khan and Janhvi Kapoor","9/3/25"
"The Vampire Diaries: Season 1: The Night of the Comet","9/3/25"
"The Great Indian Kapil Show: Season 3: Love and Laughs with Param Sundari","9/3/25"
"Tehran","9/2/25"
"Mai: Episode 6","9/2/25"
"C.I.D: Episodes (51-75): 31-08-2025 The Headless Dead Body","9/2/25"
"Mai: Episode 5","9/2/25"
"Mai: Episode 4","9/2/25"
"Mai: Episode 3","9/2/25"
"Mai: Episode 2","9/2/25"
"The Vampire Diaries: Season 1: Pilot","9/2/25"
"Ozark: Season 4: Ellie","9/2/25"
"Mai: Episode 1","9/1/25"
"Aap Jaisa Koi","9/1/25"
"The Good Doctor: Season 6: Second Chances and Past Regrets","9/1/25"
"Ozark: Season 4: Ace Deuce","9/1/25"
"Ozark: Season 4: City on the Make","8/31/25"
"Ozark: Season 4: Let the Great World Spin","8/31/25"
"Raid 2","8/31/25"
"Saare Jahan Se Accha: Episode 6","8/30/25"
"Saare Jahan Se Accha: Episode 5","8/30/25"
"The Great Indian Kapil Show: Season 2: World Cup Champions - Rohit Sharma, Suryakumar Yadav, Axar Patel, Arshdeep Singh and Shivam Dube","8/30/25"
"C.I.D: Episodes (51-75): 30-08-2025 Manch Par Maut","8/30/25"
"The Great Indian Kapil Show: Season 2: Business Baazigars - Sudha Murthy, Narayan Murthy, Deepinder Goyal and Gia Goyal","8/30/25"
"Maareesan","8/30/25"
"Saare Jahan Se Accha: Episode 4","8/29/25"
"Saare Jahan Se Accha: Episode 3","8/29/25"
"Saare Jahan Se Accha: Episode 2","8/29/25"
"Maa","8/29/25"
"Jungle Beat: The Movie","8/29/25"
"Saare Jahan Se Accha: Episode 1","8/29/25"
"Mission Raniganj: The Great Bharat Rescue","8/27/25"
"Lust Stories","8/27/25"
"Lust Stories 2","8/27/25"
"The Good Doctor: Season 6: The Good Lawyer","8/27/25"
"The Good Doctor: Season 6: Old Friends","8/27/25"
"The Good Doctor: Season 6: Hard Heart","8/27/25"
"The Good Doctor: Season 6: 39 Differences","8/27/25"
"The Good Doctor: Season 6: 365 Degrees","8/27/25"
"The Good Doctor: Season 6: The Good Boy","8/27/25"
"SAKAMOTO DAYS: Kanaguri","8/27/25"
"Fair Play","8/27/25"
"Bard of Blood: What's Past is Prologue","8/26/25"
"Thandel","8/26/25"
"The Good Doctor: Season 6: Quiet And Loud","8/26/25"
"SAKAMOTO DAYS: Have a nice fight","8/26/25"
"SPY x FAMILY: Season 1: Operation Strix","8/26/25"
"Money Heist: Korea - Joint Economic Area: Episode 1","8/26/25"
"The Good Doctor: Season 6: Broken Or Not","8/26/25"
"The Good Doctor: Season 6: Sorry, Not Sorry","8/26/25"
"Rising Impact: Season 2: Worthy New Opponents","8/26/25"
"Rising Impact: Season 1: To the Battlefield!","8/26/25"
"Rising Impact: Season 1: A Venerable Visitor","8/26/25"
"Rising Impact: Season 1: Playoffs","8/26/25"
"Aema: Limited Series: Episode 2","8/25/25"
"Aema: Limited Series: Episode 1","8/25/25"
"C.I.D: Episodes (51-75): 24-08-2025 Do Minute, Do Khoon","8/25/25"
"The Great Indian Kapil Show: Season 3: Business Ke Gamechangers","8/25/25"
"Kurup (Hindi)","8/25/25"
"OMG 2","8/25/25"
"Leo (Hindi)","8/25/25"
"Dragon Ball Z: Season 1: Mini-Goku is an Overprotected Boy! I Am Gohan.","8/25/25"
"Extraordinary Attorney Woo: Extraordinary Attorney Woo","8/24/25"
"Bhool Bhulaiyaa","8/23/25"
"C.I.D: Episodes (51-75): 23-08-2025 Dead Principal","8/23/25"
"Rising Impact: Season 1: Stubbornness and Pride","8/23/25"
"Goodbye","8/23/25"
"Bharat","8/23/25"
"Khufiya","8/22/25"
